Date,SKU_ID,SKU,Brand,SKU_Category,normal_price,normal_qty,bundling_price,bundling_qty,promo_normal_price,promo_normal_qty,seasonal_price,seasonal_qty,total_qty,total_revenue,promo_type_count,normal_normal_list_price,normal_revenue,normal_transactions,bundling_normal_list_price,bundling_revenue,bundling_transactions,promo_normal_normal_list_price,promo_normal_revenue,promo_normal_transactions,seasonal_normal_list_price,seasonal_revenue,seasonal_transactions
2025-05-01,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500.0,162,5200.0,380,5090.32,92,4209.09,32,666,3467400.0,4,5500.0,891000.0,54,5500.0,1976000.0,129,5500.0,468000.0,31,5500.0,132400.0,11
2025-05-01,S002,Richoco Wafer Cokelat 50g,Richoco,Wafer,5500.0,127,5500.0,17,5089.47,141,4183.33,57,342,1746200.0,4,5500.0,698500.0,45,5500.0,93500.0,5,5500.0,717800.0,38,5500.0,236400.0,18
2025-05-01,S003,Richeese Wafer Keju 10g Renceng,Richeese,Wafer,10000.0,174,10000.0,18,9205.13,120,7642.86,44,356,3362000.0,4,10000.0,1740000.0,57,10000.0,180000.0,5,10000.0,1104000.0,39,10000.0,338000.0,14
2025-05-01,S004,Richoco Wafer Cokelat 10g Renceng,Richoco,Wafer,10000.0,164,10000.0,28,9243.9,116,7678.57,35,343,3262000.0,4,10000.0,1640000.0,53,10000.0,280000.0,9,10000.0,1073000.0,41,10000.0,269000.0,14
2025-05-01,S005,Nextar Brownies Pie 40g,Nextar,Kue/Pie,7000.0,192,7000.0,22,6465.0,123,5233.33,46,383,2532900.0,4,7000.0,1344000.0,60,7000.0,154000.0,7,7000.0,793800.0,40,7000.0,241100.0,15
2025-05-01,S006,Nextar Nastar Pie 30g,Nextar,Kue/Pie,7000.0,139,7000.0,18,6434.21,117,5238.89,47,321,2095800.0,4,7000.0,973000.0,50,7000.0,126000.0,6,7000.0,752700.0,38,7000.0,244100.0,18
2025-05-01,S007,Richeese Siip Keju 20g,Richeese,Extruded Snack,3000.0,210,3000.0,11,2752.17,140,2288.24,59,420,1183400.0,4,3000.0,630000.0,72,3000.0,33000.0,4,3000.0,385700.0,46,3000.0,134700.0,17
2025-05-01,S008,Richoco Ahh! Extruded 15g,Richoco,Extruded Snack,4500.0,192,4500.0,10,4146.94,146,3410.0,56,404,1707000.0,4,4500.0,864000.0,64,4500.0,45000.0,5,4500.0,606800.0,49,4500.0,191200.0,20
2025-05-01,S009,Richeese Mi Instan Keju Pedas,Richeese,Mi Instan,3500.0,157,3500.0,20,3247.83,55,2533.33,50,282,924600.0,4,3500.0,549500.0,51,3500.0,70000.0,6,3500.0,178100.0,23,3500.0,127000.0,15
2025-05-01,S010,Richeese Mi Instan Ramen Keju,Richeese,Mi Instan,4000.0,186,4000.0,34,3687.18,112,2911.11,51,383,1439600.0,4,4000.0,744000.0,62,4000.0,136000.0,11,4000.0,412200.0,39,4000.0,147400.0,18
2025-05-01,S011,Nabati Biskuit Rasa Kelapa,Richeese,Biskuit,5000.0,169,5000.0,22,4657.89,104,3621.43,44,339,1596100.0,4,5000.0,845000.0,52,5000.0,110000.0,6,5000.0,482400.0,38,5000.0,158700.0,14
2025-05-01,S012,Nabati Biskuit Rasa Cokelat,Richoco,Biskuit,5000.0,193,5000.0,26,4667.65,111,3792.31,41,371,1768400.0,4,5000.0,965000.0,63,5000.0,130000.0,7,5000.0,517500.0,34,5000.0,155900.0,13
2025-05-01,S013,Nabati Drinko Richeese 150ml,Richeese,Minuman,4000.0,199,2000.0,385,3687.5,146,3076.92,47,777,2248000.0,4,4000.0,796000.0,66,4000.0,770000.0,129,4000.0,538000.0,48,4000.0,144000.0,13
2025-05-01,S014,Nabati Drinko Richoco 150ml,Richoco,Minuman,4000.0,191,4000.0,13,3685.71,133,3036.36,35,372,1411200.0,4,4000.0,764000.0,61,4000.0,52000.0,5,4000.0,488600.0,49,4000.0,106600.0,11
2025-05-01,S015,Richeese Wafer Pink Lava 50g,Richeese,Wafer,5500.0,161,5500.0,17,5088.89,103,4121.43,41,322,1673300.0,4,5500.0,885500.0,51,5500.0,93500.0,7,5500.0,525000.0,36,5500.0,169300.0,14
2025-05-01,S016,Richoco Wafer Hazelnut 50g,Richoco,Wafer,6000.0,159,6000.0,10,5565.79,95,4482.35,52,316,1779300.0,4,6000.0,954000.0,49,6000.0,60000.0,3,6000.0,530700.0,38,6000.0,234600.0,17
2025-05-01,S017,Nextar Choco Delight 40g,Nextar,Kue/Pie,7000.0,176,7000.0,11,6478.12,93,5300.0,49,329,2171200.0,4,7000.0,1232000.0,54,7000.0,77000.0,3,7000.0,600300.0,32,7000.0,261900.0,18
2025-05-01,S018,Nextar Pineapple Pie 30g,Nextar,Kue/Pie,7000.0,173,7000.0,11,6428.57,103,5233.33,36,323,2141000.0,4,7000.0,1211000.0,56,7000.0,77000.0,6,7000.0,663000.0,35,7000.0,190000.0,12
2025-05-01,S019,Richeese Siip Jagung Bakar 20g,Richeese,Extruded Snack,3000.0,203,3000.0,16,2763.16,111,2220.0,41,371,1055400.0,4,3000.0,609000.0,66,3000.0,48000.0,6,3000.0,306700.0,38,3000.0,91700.0,15
2025-05-01,S020,Richeese Mi Instan Goreng,Richeese,Mi Instan,3500.0,202,3500.0,16,3254.35,159,2666.67,30,407,1359400.0,4,3500.0,707000.0,63,3500.0,56000.0,4,3500.0,517400.0,46,3500.0,79000.0,12
2025-05-02,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500.0,200,5200.0,427,5112.2,111,4140.0,40,778,4053500.0,4,5500.0,1100000.0,67,5500.0,2220400.0,143,5500.0,565800.0,41,5500.0,167300.0,15
2025-05-02,S002,Richoco Wafer Cokelat 50g,Richoco,Wafer,5500.0,171,5500.0,18,5116.13,74,4033.33,26,289,1522800.0,4,5500.0,940500.0,55,5500.0,99000.0,7,5500.0,377600.0,31,5500.0,105700.0,9
