Date,Branch,SKU_ID,SKU,Brand,SKU_Category,NormalPrice,EffectivePrice,MinEffectivePrice,MaxEffectivePrice,DiscountPct,Promo_Category,Qty,Revenue,Transactions,Customers,prev_effective_price,prev_promo_category,price_change,price_change_pct
2025-05-01,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4980,4100,5500,9.25,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,97,508100,34,34,,,,
2025-05-02,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5050,4400,5500,8.12,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,127,664100,43,43,4980.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,70.0,1.41
2025-05-03,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4975,3800,5500,9.38,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,144,753600,45,45,5050.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-75.0,-1.49
2025-05-04,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4962,3800,5500,9.69,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,101,521400,32,32,4975.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-13.0,-0.26
2025-05-05,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4950,3800,5500,10.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,79,399900,27,27,4962.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-12.0,-0.24
2025-05-06,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5283,5000,5500,3.75,No Promo | Promo Bundling | Promo Normal,116,609600,40,40,4950.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,333.0,6.73
2025-05-07,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5002,4100,5500,9.02,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,93,478000,33,33,5283.0,No Promo | Promo Bundling | Promo Normal,-281.0,-5.32
2025-05-08,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4986,4100,5500,9.11,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,131,675100,42,42,5002.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-16.0,-0.32
2025-05-09,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4994,3800,5500,9.06,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,104,537800,38,38,4986.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,8.0,0.16
2025-05-10,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5273,5000,5500,4.0,No Promo | Promo Bundling | Promo Normal,103,538900,35,35,4994.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,279.0,5.59
2025-05-11,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5058,4400,5500,7.92,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,102,538700,38,38,5273.0,No Promo | Promo Bundling | Promo Normal,-215.0,-4.08
2025-05-12,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5019,4100,5500,8.59,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,138,719300,41,41,5058.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-39.0,-0.77
2025-05-13,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5262,5000,5500,4.29,No Promo | Promo Bundling | Promo Normal,118,616700,40,40,5019.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,243.0,4.84
2025-05-14,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4895,3800,5500,10.75,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,135,705400,46,46,5262.0,No Promo | Promo Bundling | Promo Normal,-367.0,-6.97
2025-05-15,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5004,4100,5500,8.96,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,106,546900,37,37,4895.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,109.0,2.23
2025-05-16,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5040,4400,5500,8.36,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,166,868300,50,50,5004.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,36.0,0.72
2025-05-17,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5065,4400,5500,7.75,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,122,637500,38,38,5040.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,25.0,0.5
2025-05-18,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4833,3800,5200,11.67,Promo Bundling | Promo Normal | Promo Seasonal High,93,471600,34,34,5065.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-232.0,-4.58
2025-05-19,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5075,4400,5500,7.5,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,97,515300,33,33,4833.0,Promo Bundling | Promo Normal | Promo Seasonal High,242.0,5.01
2025-05-20,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5287,5000,5500,3.67,No Promo | Promo Bundling | Promo Normal,123,649300,40,40,5075.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,212.0,4.18
