Date,Branch,Promo_Category,SKU_ID,SKU,Brand,SKU_Category,NormalPrice,EffectivePrice,MinEffectivePrice,MaxEffectivePrice,DiscountPct,Qty,Revenue,Transactions,Customers,prev_effective_price,prev_promo_category,price_change,price_change_pct
2025-05-01,Bandung,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,31,170500,10,10,,,,
2025-05-01,Bandung,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,45,234000,18,18,5500.0,No Promo,-300.0,-5.45
2025-05-01,Bandung,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5120,5000,5200,7.0,17,87200,5,5,5200.0,Promo Bundling,-80.0,-1.54
2025-05-01,Bandung,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4100,4100,4100,25.0,4,16400,1,1,5120.0,Promo Normal,-1020.0,-19.92
2025-05-01,Jakarta,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,65,357500,19,19,,,,
2025-05-01,Jakarta,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,152,790400,55,55,5500.0,No Promo,-300.0,-5.45
2025-05-01,Jakarta,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5050,5000,5200,8.75,20,101000,8,8,5200.0,Promo Bundling,-150.0,-2.88
2025-05-01,Jakarta,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4340,4100,4400,21.0,10,43700,5,5,5050.0,Promo Normal,-710.0,-14.06
2025-05-01,Semarang,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,16,88000,4,4,,,,
2025-05-01,Semarang,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,45,234000,13,13,5500.0,No Promo,-300.0,-5.45
2025-05-01,Semarang,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5100,5000,5200,7.5,14,71000,4,4,5200.0,Promo Bundling,-100.0,-1.92
2025-05-01,Surabaya,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,50,275000,21,21,,,,
2025-05-01,Surabaya,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,138,717600,43,43,5500.0,No Promo,-300.0,-5.45
2025-05-01,Surabaya,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5100,5000,5200,7.5,41,208800,14,14,5200.0,Promo Bundling,-100.0,-1.92
2025-05-01,Surabaya,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4100,3800,4400,25.0,18,72300,5,5,5100.0,Promo Normal,-1000.0,-19.61
2025-05-02,Bandung,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,31,170500,10,10,4100.0,Promo Seasonal High,1400.0,34.15
2025-05-02,Bandung,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,70,364000,24,24,5500.0,No Promo,-300.0,-5.45
2025-05-02,Bandung,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5100,5000,5200,7.5,21,107600,8,8,5200.0,Promo Bundling,-100.0,-1.92
2025-05-02,Bandung,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4400,4400,4400,20.0,5,22000,1,1,5100.0,Promo Normal,-700.0,-13.73
2025-05-02,Jakarta,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,75,412500,24,24,4340.0,Promo Seasonal High,1160.0,26.73
2025-05-02,Jakarta,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,183,951600,64,64,5500.0,No Promo,-300.0,-5.45
2025-05-02,Jakarta,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5100,5000,5200,7.5,38,193000,12,12,5200.0,Promo Bundling,-100.0,-1.92
2025-05-02,Jakarta,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4200,3800,4400,23.33,26,109600,9,9,5100.0,Promo Normal,-900.0,-17.65
2025-05-02,Semarang,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,29,159500,12,12,5100.0,Promo Normal,400.0,7.84
2025-05-02,Semarang,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,46,239200,15,15,5500.0,No Promo,-300.0,-5.45
2025-05-02,Semarang,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5080,5000,5200,8.0,14,71000,5,5,5200.0,Promo Bundling,-120.0,-2.31
2025-05-02,Semarang,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,3950,3800,4100,27.5,6,23700,2,2,5080.0,Promo Normal,-1130.0,-22.24
2025-05-02,Surabaya,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,65,357500,21,21,4100.0,Promo Seasonal High,1400.0,34.15
2025-05-02,Surabaya,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,128,665600,40,40,5500.0,No Promo,-300.0,-5.45
2025-05-02,Surabaya,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5138,5000,5200,6.56,38,194200,16,16,5200.0,Promo Bundling,-62.0,-1.19
2025-05-02,Surabaya,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4000,3800,4400,26.67,3,12000,3,3,5138.0,Promo Normal,-1138.0,-22.15
2025-05-03,Bandung,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,44,242000,14,14,4400.0,Promo Seasonal High,1100.0,25.0
2025-05-03,Bandung,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,82,426400,25,25,5500.0,No Promo,-300.0,-5.45
2025-05-03,Bandung,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5100,5000,5200,7.5,11,56200,4,4,5200.0,Promo Bundling,-100.0,-1.92
