Date,Branch,Promo_Category,SKU_ID,SKU,Brand,SKU_Category,NormalPrice,EffectivePrice,DiscountPct,Qty,Revenue,Transactions,Customers
2025-05-01,Bandung,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,0.0,31,170500,10,10
2025-05-01,Bandung,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5.0,45,234000,18,18
2025-05-01,Bandung,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5120,7.0,17,87200,5,5
2025-05-01,Bandung,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4100,25.0,4,16400,1,1
2025-05-01,Jakarta,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,0.0,65,357500,19,19
2025-05-01,Jakarta,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5.0,152,790400,55,55
2025-05-01,Jakarta,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5050,8.75,20,101000,8,8
2025-05-01,Jakarta,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4340,21.0,10,43700,5,5
2025-05-01,Semarang,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,0.0,16,88000,4,4
2025-05-01,Semarang,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5.0,45,234000,13,13
2025-05-01,Semarang,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5100,7.5,14,71000,4,4
2025-05-01,Surabaya,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,0.0,50,275000,21,21
2025-05-01,Surabaya,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5.0,138,717600,43,43
2025-05-01,Surabaya,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5100,7.5,41,208800,14,14
2025-05-01,Surabaya,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4100,25.0,18,72300,5,5
2025-05-02,Bandung,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,0.0,31,170500,10,10
2025-05-02,Bandung,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5.0,70,364000,24,24
2025-05-02,Bandung,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5100,7.5,21,107600,8,8
2025-05-02,Bandung,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4400,20.0,5,22000,1,1
2025-05-02,Jakarta,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,0.0,75,412500,24,24
2025-05-02,Jakarta,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5.0,183,951600,64,64
2025-05-02,Jakarta,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5100,7.5,38,193000,12,12
2025-05-02,Jakarta,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4200,23.33,26,109600,9,9
