Week,SKU_ID,SKU,Brand,SKU_Category,normal_list_price,normal_price,normal_qty,bundling_price,bundling_qty,promo_normal_price,promo_normal_qty,seasonal_price,seasonal_qty,total_qty,total_revenue,promo_type_count,normal_revenue,normal_transactions,bundling_revenue,bundling_transactions,promo_normal_revenue,promo_normal_transactions,seasonal_revenue,seasonal_transactions
2025-04-28,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500.0,5500.0,717,5200.0,1743,5094.84,431,4108.8,157,3048,15848100.0,4,3943500.0,240,9063600.0,570,2195800.0,142,645200.0,54
2025-04-28,S002,Richoco Wafer Cokelat 50g,Richoco,Wafer,5500.0,5500.0,689,5500.0,84,5113.6,448,4130.87,140,1361,7119300.0,4,3789500.0,231,462000.0,29,2289600.0,138,578200.0,49
2025-04-28,S003,Richeese Wafer Keju 10g Renceng,Richeese,Wafer,10000.0,10000.0,680,10000.0,69,9260.29,485,7524.38,121,1355,12889000.0,4,6800000.0,217,690000.0,21,4490500.0,159,908500.0,41
2025-04-28,S004,Richoco Wafer Cokelat 10g Renceng,Richoco,Wafer,10000.0,10000.0,615,10000.0,91,9223.6,480,7592.49,141,1327,12553000.0,4,6150000.0,215,910000.0,32,4426000.0,163,1067000.0,53
2025-04-28,S005,Nextar Brownies Pie 40g,Nextar,Kue/Pie,7000.0,7000.0,751,7000.0,72,6456.78,461,5228.41,155,1439,9541300.0,4,5257000.0,245,504000.0,25,2971500.0,149,808800.0,50
2025-04-28,S006,Nextar Nastar Pie 30g,Nextar,Kue/Pie,7000.0,7000.0,621,7000.0,70,6449.34,373,5250.37,180,1244,8185900.0,4,4347000.0,208,490000.0,25,2406900.0,136,942000.0,58
2025-04-28,S007,Richeese Siip Keju 20g,Richeese,Extruded Snack,3000.0,3000.0,756,3000.0,88,2752.95,431,2243.94,164,1439,4086100.0,4,2268000.0,263,264000.0,29,1187200.0,149,366900.0,51
2025-04-28,S008,Richoco Ahh! Extruded 15g,Richoco,Extruded Snack,4500.0,4500.0,624,4500.0,80,4149.35,498,3414.81,156,1358,5769500.0,4,2808000.0,212,360000.0,27,2069700.0,159,531800.0,50
2025-04-28,S009,Richeese Mi Instan Keju Pedas,Richeese,Mi Instan,3500.0,3500.0,691,3500.0,85,3251.75,360,2556.76,147,1283,4260600.0,4,2418500.0,229,297500.0,31,1169400.0,124,375200.0,47
2025-04-28,S010,Richeese Mi Instan Ramen Keju,Richeese,Mi Instan,4000.0,4000.0,743,4000.0,74,3705.78,460,2976.51,184,1461,5520400.0,4,2972000.0,250,296000.0,28,1705400.0,152,547000.0,61
