Date,Month,Branch,SKU_ID,SKU_Category,Brand,NormalPrice,DiscountedPrice,DiscountPercentage,Promo_Category,Qty,Revenue
2025-05-01,5,Jakarta,S001,Wafer,Richeese,5500,5500.0,0.0,No Promo,517,2843500.0
2025-05-01,5,Jakarta,S002,Wafer,Richoco,5500,4125.0,0.25,Promo Seasonal High,484,1996500.0
2025-05-01,5,Jakarta,S003,Wafer,Richeese,10000,9250.0,0.075,Promo Normal,288,2664000.0
2025-05-01,5,Jakarta,S004,Wafer,Richoco,10000,9250.0,0.075,Promo Normal,251,2321750.0
2025-05-01,5,Jakarta,S005,Kue/Pie,Nextar,8000,8000.0,0.0,No Promo,438,3504000.0
2025-05-01,5,Jakarta,S006,Kue/Pie,Nextar,8000,8000.0,0.0,No Promo,319,2552000.0
2025-05-01,5,Jakarta,S007,Extruded Snack,Richeese,3000,3000.0,0.0,No Promo,314,942000.0
2025-05-01,5,Jakarta,S008,Extruded Snack,Richoco,4500,4275.0,0.05,Promo Bundling,298,1273950.0
2025-05-01,5,Jakarta,S009,Mi Instan,Richeese,3500,3237.5,0.075,Promo Normal,317,1026287.5
2025-05-01,5,Jakarta,S010,Mi Instan,Richeese,4000,3700.0,0.075,Promo Normal,359,1328300.0
2025-05-01,5,Jakarta,S011,Biskuit,Richeese,5000,5000.0,0.0,No Promo,235,1175000.0
2025-05-01,5,Jakarta,S012,Biskuit,Richoco,5000,3750.0,0.25,Promo Seasonal High,482,1807500.0
2025-05-01,5,Jakarta,S013,Minuman,Richeese,4000,2000.0,0.5,Promo Bundling,889,1778000.0
2025-05-01,5,Jakarta,S014,Minuman,Richoco,4000,4000.0,0.0,No Promo,273,1092000.0
2025-05-01,5,Jakarta,S015,Wafer,Richeese,5500,5500.0,0.0,No Promo,298,1639000.0
2025-05-01,5,Jakarta,S016,Wafer,Richoco,6000,6000.0,0.0,No Promo,466,2796000.0
2025-05-01,5,Jakarta,S017,Kue/Pie,Nextar,7000,7000.0,0.0,No Promo,333,2331000.0
2025-05-01,5,Jakarta,S018,Kue/Pie,Nextar,7000,6475.0,0.075,Promo Normal,306,1981350.0
2025-05-01,5,Jakarta,S019,Extruded Snack,Richeese,3000,3000.0,0.0,No Promo,389,1167000.0
2025-05-01,5,Jakarta,S020,Mi Instan,Richeese,3500,3500.0,0.0,No Promo,240,840000.0
2025-05-01,5,Bandung,S001,Wafer,Richeese,5500,5500.0,0.0,No Promo,276,1518000.0
2025-05-01,5,Bandung,S002,Wafer,Richoco,5500,5087.5,0.075,Promo Normal,143,727512.5
2025-05-01,5,Bandung,S003,Wafer,Richeese,10000,9250.0,0.075,Promo Normal,133,1230250.0
2025-05-01,5,Bandung,S004,Wafer,Richoco,10000,10000.0,0.0,No Promo,136,1360000.0
2025-05-01,5,Bandung,S005,Kue/Pie,Nextar,8000,6000.0,0.25,Promo Seasonal High,231,1386000.0
2025-05-01,5,Bandung,S006,Kue/Pie,Nextar,8000,7600.0,0.05,Promo Bundling,208,1580800.0
2025-05-01,5,Bandung,S007,Extruded Snack,Richeese,3000,2250.0,0.25,Promo Seasonal High,139,312750.0
2025-05-01,5,Bandung,S008,Extruded Snack,Richoco,4500,4275.0,0.05,Promo Bundling,139,594225.0
2025-05-01,5,Bandung,S009,Mi Instan,Richeese,3500,3237.5,0.075,Promo Normal,142,459725.0
2025-05-01,5,Bandung,S010,Mi Instan,Richeese,4000,3000.0,0.25,Promo Seasonal High,197,591000.0
