SKU_ID,SKU_Name,MAPE_pct,n_days
S003,Richeese Wafer Keju 10g Renceng,11.06,92
S005,Nextar Brownies Pie 40g,11.54,92
S014,Nabati Drinko Richoco 150ml,11.92,92
S009,Richeese Mi Instan Keju Pedas,12.61,92
S008,Richoco Ahh! Extruded 15g,13.31,92
S010,Richeese Mi Instan Ramen Keju,14.19,92
S012,Nabati Biskuit Rasa Cokelat,14.25,92
S011,Nabati Biskuit Rasa Kelapa,14.27,92
S007,Richeese Siip Keju 20g,14.32,92
S017,Nextar Choco Delight 40g,14.34,92
S002,Richoco Wafer Cokelat 50g,15.62,92
S020,Richeese Mi Instan Goreng,15.85,92
S016,Richoco Wafer Hazelnut 50g,16.24,92
S006,Nextar Nastar Pie 30g,16.45,92
S019,Richeese Siip Jagung Bakar 20g,17.52,92
S015,Richeese Wafer Pink Lava 50g,17.82,92
S004,Richoco Wafer Cokelat 10g Renceng,18.91,92
S018,Nextar Pineapple Pie 30g,19.81,92
S001,Richeese Wafer Keju 50g,21.02,92
S013,Nabati Drinko Richeese 150ml,22.02,92
