ds,yhat,yhat_lower,yhat_upper,SKU_ID,SKU_Name,SKU_Category,qty_forecast,qty_lower,qty_upper,revenue_forecast
2025-10-01,2351.7952682858618,1516.2918007855512,3181.9062503555488,S001,Richeese Wafer Keju 50g,Wafer,2352,1516,3182,12967070.0
2025-10-02,2353.2661810532277,1545.2862575296942,3216.726504184508,S001,Richeese Wafer Keju 50g,Wafer,2353,1545,3217,12972583.0
2025-10-03,2353.857797559831,1493.3306241326575,3237.2072688288868,S001,Richeese Wafer Keju 50g,Wafer,2354,1493,3237,12978096.0
2025-10-04,2353.8487738395697,1523.784980786913,3194.8340094036394,S001,Richeese Wafer Keju 50g,Wafer,2354,1524,3195,12978096.0
2025-10-05,2353.558302586545,1549.1581805634592,3171.2962473225766,S001,Richeese Wafer Keju 50g,Wafer,2354,1549,3171,12978096.0
2025-10-06,2353.3374865478377,1529.0818271742073,3236.286884709539,S001,Richeese Wafer Keju 50g,Wafer,2353,1529,3236,12972583.0
2025-10-07,2353.5592707262845,1498.0063505912235,3168.103704835542,S001,Richeese Wafer Keju 50g,Wafer,2354,1498,3168,12978096.0
2025-10-08,2354.6071826161883,1481.5153359012845,3285.2520311555595,S001,Richeese Wafer Keju 50g,Wafer,2355,1482,3285,12983609.0
2025-10-09,2356.8631756684454,1519.1892713301718,3190.856243329053,S001,Richeese Wafer Keju 50g,Wafer,2357,1519,3191,12994636.0
2025-10-10,2360.694909944883,1510.8776222433837,3135.3763573273995,S001,Richeese Wafer Keju 50g,Wafer,2361,1511,3135,13016688.0
2025-10-11,2366.4428341033486,1486.0450586466154,3206.6982699818827,S001,Richeese Wafer Keju 50g,Wafer,2366,1486,3207,13044255.0
2025-10-12,2374.407453273688,1510.6510056138218,3169.3478600355133,S001,Richeese Wafer Keju 50g,Wafer,2374,1511,3169,13088360.0
2025-10-13,2384.8371771451625,1575.33982469303,3253.4876358612796,S001,Richeese Wafer Keju 50g,Wafer,2385,1575,3253,13149006.0
2025-10-14,2397.9171410338004,1531.4517227545334,3246.522564977456,S001,Richeese Wafer Keju 50g,Wafer,2398,1531,3247,13220677.0
2025-10-15,2413.7593795557577,1573.40349665091,3181.667091699868,S001,Richeese Wafer Keju 50g,Wafer,2414,1573,3182,13308889.0
2025-10-16,2432.394707781914,1640.5036873605504,3281.0819430967604,S001,Richeese Wafer Keju 50g,Wafer,2432,1641,3281,13408126.0
2025-10-17,2453.766628765638,1614.263053589003,3315.565913807438,S001,Richeese Wafer Keju 50g,Wafer,2454,1614,3316,13529417.0
2025-10-18,2477.727539802009,1696.790479298636,3371.668659351489,S001,Richeese Wafer Keju 50g,Wafer,2478,1697,3372,13661734.0
2025-10-19,2504.037453715397,1670.3327287812263,3296.666156455843,S001,Richeese Wafer Keju 50g,Wafer,2504,1670,3297,13805078.0
2025-10-20,2532.3653871885003,1645.9210559748549,3387.175456898847,S001,Richeese Wafer Keju 50g,Wafer,2532,1646,3387,13959447.0
2025-10-21,2562.2934972520943,1722.3874542939868,3387.9919431001485,S001,Richeese Wafer Keju 50g,Wafer,2562,1722,3388,14124844.0
2025-10-22,2593.3239713553867,1723.2681042122576,3416.11827890297,S001,Richeese Wafer Keju 50g,Wafer,2593,1723,3416,14295753.0
2025-10-23,2624.888597973474,1721.063872515973,3454.826960049776,S001,Richeese Wafer Keju 50g,Wafer,2625,1721,3455,14472176.0
2025-10-24,2656.3608655959756,1835.5300921388803,3495.9996664997398,S001,Richeese Wafer Keju 50g,Wafer,2656,1836,3496,14643085.0
2025-10-25,2687.070360436026,1828.921063050398,3551.6005033129836,S001,Richeese Wafer Keju 50g,Wafer,2687,1829,3552,14813995.0
2025-10-26,2716.319159521884,1869.3334703756846,3591.9515722586025,S001,Richeese Wafer Keju 50g,Wafer,2716,1869,3592,14973878.0
2025-10-27,2743.3998481827157,1880.6859466308342,3596.998686282784,S001,Richeese Wafer Keju 50g,Wafer,2743,1881,3597,15122735.0
2025-10-28,2767.614731390957,1953.8571059454744,3624.8497874975765,S001,Richeese Wafer Keju 50g,Wafer,2768,1954,3625,15260565.0
2025-10-29,2788.2957588860804,1994.9918057085008,3689.4210155659052,S001,Richeese Wafer Keju 50g,Wafer,2788,1995,3689,15370829.0
2025-10-30,2804.824646155351,1954.158387154409,3621.513631162088,S001,Richeese Wafer Keju 50g,Wafer,2805,1954,3622,15464554.0
2025-10-31,2816.6526485599857,2023.726571589334,3637.573194384132,S001,Richeese Wafer Keju 50g,Wafer,2817,2024,3638,15530712.0
2025-11-01,2823.319435263372,1932.130930769951,3697.120090162965,S001,Richeese Wafer Keju 50g,Wafer,2823,1932,3697,15563791.0
2025-11-02,2824.4705138022414,1977.6888616685508,3644.3402029535996,S001,Richeese Wafer Keju 50g,Wafer,2824,1978,3644,15569305.0
2025-11-03,2819.8726754704207,1948.5024730000084,3633.8636857286783,S001,Richeese Wafer Keju 50g,Wafer,2820,1949,3634,15547252.0
2025-11-04,2809.426966028137,2002.2853738758024,3735.419238568983,S001,Richeese Wafer Keju 50g,Wafer,2809,2002,3735,15486607.0
2025-11-05,2793.178735097898,1934.9256368990764,3637.246229535813,S001,Richeese Wafer Keju 50g,Wafer,2793,1935,3637,15398395.0
2025-11-06,2771.3243800063747,1894.774848617252,3628.639830145929,S001,Richeese Wafer Keju 50g,Wafer,2771,1895,3629,15277105.0
2025-11-07,2744.214474457188,1900.9069818904466,3605.5067603752245,S001,Richeese Wafer Keju 50g,Wafer,2744,1901,3606,15128248.0
2025-11-08,2712.353057569207,1880.596369906453,3570.9713048566086,S001,Richeese Wafer Keju 50g,Wafer,2712,1881,3571,14951825.0
2025-11-09,2676.3929524645555,1848.1265029338856,3520.3681129959436,S001,Richeese Wafer Keju 50g,Wafer,2676,1848,3520,14753350.0
2025-11-10,2637.1270834295874,1787.7526233197314,3452.102845464674,S001,Richeese Wafer Keju 50g,Wafer,2637,1788,3452,14538334.0
