SKU_ID,SKU_Name,MAPE_pct,n_days
S014,Nabati Drinko Richoco 150ml,8.3,92
S005,Nextar Brownies Pie 40g,9.39,92
S009,Richeese Mi Instan Keju Pedas,9.83,92
S017,Nextar Choco Delight 40g,10.06,92
S006,Nextar Nastar Pie 30g,10.17,92
S008,Richoco Ahh! Extruded 15g,10.31,92
S010,Richeese Mi Instan Ramen Keju,10.31,92
S020,Richeese Mi Instan Goreng,10.62,92
S019,Richeese Siip Jagung Bakar 20g,10.93,92
S002,Richoco Wafer Cokelat 50g,11.22,92
S012,Nabati Biskuit Rasa Cokelat,11.37,92
S011,Nabati Biskuit Rasa Kelapa,11.64,92
S016,Richoco Wafer Hazelnut 50g,11.85,92
S007,Richeese Siip Keju 20g,11.88,92
S018,Nextar Pineapple Pie 30g,12.02,92
S004,Richoco Wafer Cokelat 10g Renceng,12.22,92
S001,Richeese Wafer Keju 50g,13.19,92
S015,Richeese Wafer Pink Lava 50g,13.27,92
S013,Nabati Drinko Richeese 150ml,14.37,92
S003,Richeese Wafer Keju 10g Renceng,14.6,92
