ds,yhat,yhat_lower,yhat_upper,SKU_ID,SKU_Name,SKU_Category,qty_forecast,qty_lower,qty_upper,revenue_forecast
2025-10-01,2156.2891228087296,1509.8545170209388,2788.3392800752576,S001,Richeese Wafer Keju 50g,Wafer,2156,1510,2788,12465417.0
2025-10-02,2195.11574456767,1529.2566509899177,2876.512457146143,S001,Richeese Wafer Keju 50g,Wafer,2195,1529,2877,12690904.0
2025-10-03,2234.188928638612,1560.920595935586,2895.789721541516,S001,Richeese Wafer Keju 50g,Wafer,2234,1561,2896,12916392.0
2025-10-04,2273.309945104326,1627.1517600824263,2914.036590877792,S001,Richeese Wafer Keju 50g,Wafer,2273,1627,2914,13141879.0
2025-10-05,2312.3232788155756,1632.256594483675,2998.2921057211965,S001,Richeese Wafer Keju 50g,Wafer,2312,1632,2998,13367367.0
2025-10-06,2351.116738765114,1684.9228599108828,3026.235480362325,S001,Richeese Wafer Keju 50g,Wafer,2351,1685,3026,13592855.0
2025-10-07,2389.6195337814547,1731.9474798043814,3072.254045445726,S001,Richeese Wafer Keju 50g,Wafer,2390,1732,3072,13818342.0
2025-10-08,2427.798394106126,1775.6426309277151,3085.165406989076,S001,Richeese Wafer Keju 50g,Wafer,2428,1776,3085,14038048.0
2025-10-09,2465.6518903975048,1807.8540946797712,3123.5554185405676,S001,Richeese Wafer Keju 50g,Wafer,2466,1808,3124,14257754.0
2025-10-10,2503.203169400655,1758.6245181641905,3182.2011962563893,S001,Richeese Wafer Keju 50g,Wafer,2503,1759,3182,14471678.0
2025-10-11,2540.491386657127,1898.4729652325252,3206.4132592107994,S001,Richeese Wafer Keju 50g,Wafer,2540,1898,3206,14685602.0
2025-10-12,2577.562169092553,1827.408717512151,3265.749019090609,S001,Richeese Wafer Keju 50g,Wafer,2578,1827,3266,14905308.0
2025-10-13,2614.4574822617524,1946.458069993471,3296.915032421997,S001,Richeese Wafer Keju 50g,Wafer,2614,1946,3297,15113450.0
2025-10-14,2651.205306899503,1967.3545374343485,3317.563220465689,S001,Richeese Wafer Keju 50g,Wafer,2651,1967,3318,15327374.0
2025-10-15,2687.8095460653176,2043.1912275936404,3376.8519821425916,S001,Richeese Wafer Keju 50g,Wafer,2688,2043,3377,15541299.0
2025-10-16,2724.240586789824,2077.7140347559675,3386.3020284088534,S001,Richeese Wafer Keju 50g,Wafer,2724,2078,3386,15749441.0
2025-10-17,2760.426928403019,2109.7183953175077,3489.1666905632082,S001,Richeese Wafer Keju 50g,Wafer,2760,2110,3489,15957583.0
2025-10-18,2796.2482637647418,2086.79700775246,3460.9480805526173,S001,Richeese Wafer Keju 50g,Wafer,2796,2087,3461,16165726.0
2025-10-19,2831.530360000205,2161.7359583604843,3490.8975888915106,S001,Richeese Wafer Keju 50g,Wafer,2832,2162,3491,16373868.0
2025-10-20,2866.0420330613497,2188.8567633979037,3590.908999626997,S001,Richeese Wafer Keju 50g,Wafer,2866,2189,3591,16570447.0
2025-10-21,2899.494446939446,2283.021541619832,3566.8188460689526,S001,Richeese Wafer Keju 50g,Wafer,2899,2283,3567,16761244.0
2025-10-22,2931.5428954260096,2267.7215528576066,3641.656448840807,S001,Richeese Wafer Keju 50g,Wafer,2932,2268,3642,16952041.0
2025-10-23,2961.7911441217425,2265.0852574825444,3636.295238265683,S001,Richeese Wafer Keju 50g,Wafer,2962,2265,3636,17125493.0
2025-10-24,2989.798325287852,2319.840163260931,3708.1230696562857,S001,Richeese Wafer Keju 50g,Wafer,2990,2320,3708,17287382.0
2025-10-25,3015.088290754595,2301.2017222427717,3686.9873337927825,S001,Richeese Wafer Keju 50g,Wafer,3015,2301,3687,17431925.0
2025-10-26,3037.161241139773,2394.799630636098,3738.0761165992308,S001,Richeese Wafer Keju 50g,Wafer,3037,2395,3738,17559123.0
2025-10-27,3055.5073658488263,2370.085581335951,3736.6795748825857,S001,Richeese Wafer Keju 50g,Wafer,3056,2370,3737,17668976.0
2025-10-28,3069.6221504320097,2365.5746894718422,3745.4482596758107,S001,Richeese Wafer Keju 50g,Wafer,3070,2366,3745,17749921.0
2025-10-29,3079.0229384452286,2423.037255786842,3744.0885441063506,S001,Richeese Wafer Keju 50g,Wafer,3079,2423,3744,17801956.0
2025-10-30,3083.266276369378,2405.6206109636314,3761.018935422244,S001,Richeese Wafer Keju 50g,Wafer,3083,2406,3761,17825083.0
2025-10-31,3081.965524459842,2399.668878671717,3757.2600150827916,S001,Richeese Wafer Keju 50g,Wafer,3082,2400,3757,17819301.0
2025-11-01,3074.808185376195,2362.4225105297664,3770.749245966655,S001,Richeese Wafer Keju 50g,Wafer,3075,2362,3771,17778829.0
2025-11-02,3061.57238737786,2388.472017340493,3704.333662941458,S001,Richeese Wafer Keju 50g,Wafer,3062,2388,3704,17703667.0
2025-11-03,3042.1419606435657,2318.0827023756674,3781.246460610967,S001,Richeese Wafer Keju 50g,Wafer,3042,2318,3781,17588032.0
